bs,bs_bytes,iops,mbps,lat_us
4k,4096,20525.0,84.07,618.4
16k,16384,12435.7,203.747,183.56
64k,65536,5256.2,344.47,86.1
128k,131072,2601.3,340.958,64.57
256k,262144,1219.4,319.658,57.92
