bs,bs_bytes,iops,mbps,lat_us
4k,4096,31476.9,128.929,390.1
16k,16384,17835.3,292.214,98.17
64k,65536,8119.7,532.133,26.11
128k,131072,4435.9,581.422,13.12
256k,262144,2141.9,561.486,6.45
