filter,n,target_fpr,achieved_fpr,bpe,load,fp_bits,r_bits,threads,qfrac,neg_share,ops,run,throughput_ops_s,p50_ns,p95_ns,p99_ns,insert_fail,kicks,max_kicks,stash_size,stash_hits,fp_checks,scan_steps
cuckoo,1000000,0.01,0.000872,25.1658,0.9,12,10,1,0.5,0.5,3000000,0,5.46628e+06,0,0,0,0,135371,500,3,0,8484020,0
cuckoo,1000000,0.01,0.000982,25.1658,0.9,12,10,1,0.5,0.5,3000000,1,5.00691e+06,0,0,0,0,134525,500,3,0,8482372,0
cuckoo,1000000,0.01,0.000872,25.1658,0.9,12,10,1,0.7,0.5,3000000,0,5.01284e+06,0,0,0,0,51733,24,0,0,11508525,0
cuckoo,1000000,0.01,0.000982,25.1658,0.9,12,10,1,0.7,0.5,3000000,1,5.05691e+06,0,0,0,0,51185,33,0,0,11509679,0
cuckoo,1000000,0.01,0.000872,25.1658,0.9,12,10,1,0.9,0.5,3000000,0,5.2813e+06,0,0,0,0,11994,9,0,0,14040278,0
cuckoo,1000000,0.01,0.000982,25.1658,0.9,12,10,1,0.9,0.5,3000000,1,4.55201e+06,0,0,0,0,11894,8,0,0,14040047,0
