filter,n,target_fpr,achieved_fpr,bpe,load,fp_bits,r_bits,threads,qfrac,neg_share,ops,run,throughput_ops_s,p50_ns,p95_ns,p99_ns,insert_fail,kicks,max_kicks,stash_size,stash_hits,fp_checks,scan_steps
qf,1000000,0.01,9.1e-05,31.4573,0.9,12,12,1,0.5,0.5,3000000,0,2.46193e+06,0,0,0,624958,0,0,0,0,0,2746965
qf,1000000,0.01,9.3e-05,31.4573,0.9,12,12,1,0.5,0.5,3000000,1,2.43306e+06,0,0,0,625056,0,0,0,0,0,2748030
qf,1000000,0.01,9.1e-05,31.4573,0.9,12,12,1,0.7,0.5,3000000,0,2.43215e+06,0,0,0,390883,0,0,0,0,0,3214502
qf,1000000,0.01,9.3e-05,31.4573,0.9,12,12,1,0.7,0.5,3000000,1,2.54561e+06,0,0,0,391133,0,0,0,0,0,3213186
qf,1000000,0.01,9.1e-05,31.4573,0.9,12,12,1,0.9,0.5,3000000,0,2.44198e+06,0,0,0,140374,0,0,0,0,0,3843022
qf,1000000,0.01,9.3e-05,31.4573,0.9,12,12,1,0.9,0.5,3000000,1,2.367e+06,0,0,0,140499,0,0,0,0,0,3846700
