miss_rate,AMAT_ns,throughput_MBps
0.0,8.2,13333.333333333334
0.05,12.79,8548.345061245765
0.1,17.38,6290.755657844265
0.15,21.97,4976.483082991958
0.2,26.56,4116.465863453816
0.25,31.15,3509.8983413590154
0.3,35.74,3059.1307591867185
0.35,40.33,2710.9678485825275
0.4,44.92,2433.956663698427
0.45,49.510000000000005,2208.3080859085703
0.5,54.1,2020.9488601355515
